"objectname","id","rating","numplays","weight","own","fortrade","want","wanttobuy","wanttoplay","prevowned","preordered","wishlist","wishlistpriority","wishlistcomment","comment","conditiontext","haspartslist","wantpartslist","collid","baverage","average","avgweight","rank","numowned","objecttype","originalname","minplayers","maxplayers","playingtime","maxplaytime","minplaytime","yearpublished","bggrecplayers","bggbestplayers","bggrecagerange","bgglanguagedependence","publisherid","imageid","year","language","other","itemtype","barcode","pricepaid","pp_currency","currvalue","cv_currency","acquisitiondate","acquiredfrom","quantity","privatecomment","invlocation","invdate","version_publishers","version_languages","version_yearpublished","version_nickname","BG","BH","BI","BJ","BK","BL","BM","BN","BO","BP","BQ","BR","BS","BT","BU","BV","BW","BX","BY","BZ","CA","CB","CC","CD","CE","CF"
"14 Frantic Minutes","362865","0","0","0","1","0","0","0","0","0","0","0","3","","Test 1","","","","110959123","0","7.09259","1.5","0","104","thing","14 Frantic Minutes","1","4","14","14","14","2023","1","2","1","","","","","","","","standalone","","","","","","","","","","","","Crazy Like a Box","English","2023","English edition","","","","","","","","","","","","","","","","","","","","","","","","",""
"3 Minute Crazy Café","394751","0","0","0","1","0","0","0","0","0","0","0","3","","Test 2","","","","110836326","5.51331","6.00309","1","18792","167","thing","3 Minute Crazy Café","2","6","9","9","9","2023","3","4","5","6","5","6","8+","","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2023","German edition","","","","","","","","","","","","","","","","","","","","","",""
"5 Towers","400205","0","0","0","1","0","0","0","0","0","0","0","3","","Test 3","","","","112243074","6.03212","6.89755","1.2143","2714","2761","thing","5 Towers","2","5","30","30","15","2023","2","3","4","5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Deep Print Games Pegasus Spiele","German","2023","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"5 Towers","400205","0","0","0","0","0","0","0","0","0","0","0","3","","Test 4","","","","112243415","6.03212","6.89755","1.2143","2714","2761","thing","5 Towers","2","5","30","30","15","2023","2","3","4","5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5-Minute Dungeon","207830","0","0","0","1","0","0","0","0","0","0","0","3","","Test 5","","","","110489963","6.60155","6.92934","1.12","1026","19154","thing","5-Minute Dungeon","2","5","30","30","5","2017","2","3","4","5","4","5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2017","German edition","","","","","","","","","","","","","","","","","","","","","",""
"6 nimmt!","432","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110491254","6.84135","6.96896","1.1924","648","42925","thing","Take 5","2","10","45","45","45","1994","3","4","5","6","7","8","9","10","5","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","1994","AMIGO German edition 1994","","","","","","","","","","","","","","","","","",""
"7 Wonders","68448","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110495762","7.57393","7.68325","2.3167","91","142047","thing","7 Wonders","2","7","30","30","30","2017","3","4","5","6","7","4","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Repos Production","German","2017","Repos German 2017","","","","","","","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110493077","7.97234","8.09609","2.2287","19","157038","thing","7 Wonders Duel","2","2","30","30","30","2022","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Repos Production","German","2022","German edition 2022","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7 Wonders: Edifice","378839","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110490788","5.72509","7.61556","2","0","1937","thing","7 Wonders: Edifice","3","7","30","30","30","2023","4","5","6","7","5","10+","","","","","","","expansion","","","","","","","","","","","","Repos Production","German","2023","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"A la carte","217","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110664049","6.07596","6.46451","1.2955","2527","4614","thing","A la carte","2","4","30","30","30","2019","2","3","4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HeidelBÄR Games","German","2019","German edition 2019","","","","","","","","","","","","","","","","","","","","","","","",""
