"comment","location","location2","sticker","id"
"14 Frantic Minutes","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","1","362865"
"3 Minute Crazy Café","Kleine Spiele","Im Regal Erdgeschoss (Links)","1","394751"
"5 Towers","Kleine Spiele","Im Regal Erdgeschoss (Links)","2","400205"
"5 Towers","Kleine Spiele","Im Regal Erdgeschoss (Links)","2","400205"
"7 Wonders Duel","Spiele für 2","Obergeschoss Links","4","173346"
"A la carte","Große Spiele","Im Regal Erdgeschoss (Rechts)","A5","217"
"Agricola","Große Spiele","Im Regal Erdgeschoss (Rechts)","A2","31260"
"Agricola","Spiele für 3","Obergeschoss Links","A3","31260"
"Airlines Europe","Große Spiele","Im Regal Erdgeschoss (Rechts)","A4","90419"
"Allie Gator","Kleine Spiele","Im Regal Erdgeschoss (Links)","A1","351857"
"Anubixx","Kleine Spiele","Im Regal Erdgeschoss (Links)","A4","287693"
"Apokalypse","Kleine Spiele","Im Regal Erdgeschoss (Links)","A5","39202"
"Applejack","Große Spiele","Im Regal Erdgeschoss (Rechts)","A7","367662"
"Aqua Romana","Große Spiele","Im Regal Erdgeschoss (Rechts)","A8","20080"
"Arboretum","Kleine Spiele","Im Regal Erdgeschoss (Links)","A6","140934"
"Arche Nova","Große Spiele","Im Regal Erdgeschoss (Rechts)","A9","342942"
"Azul","Große Spiele","Im Regal Erdgeschoss (Rechts)","A15","230802"
"Azul","Große Spiele","Im Regal Erdgeschoss (Rechts)","A16","230802"
"Babylon","Große Spiele","Im Regal Erdgeschoss (Rechts)","B1","418354"
"Bad Company","Große Spiele","Im Regal Erdgeschoss (Rechts)","B1.1","340677"
"Bali","Große Spiele","Im Regal Erdgeschoss (Rechts)","B2","1352"
"Bananagrams","Kleine Spiele","Im Regal Erdgeschoss (Links)","B0","27225"
"Bandido","Kleine Spiele","Im Regal Erdgeschoss (Links)","B1","191925"
"Bärenpark","Große Spiele","Im Regal Erdgeschoss (Rechts)","B3","219513"
"Beasty Bar","Kleine Spiele","Im Regal Erdgeschoss (Links)","B6","165950"
"Belratti","Kleine Spiele","Im Regal Erdgeschoss (Links)","B7","259374"
"Bezzerwizzer","Große Spiele","Im Regal Erdgeschoss (Rechts)","B4","32441"
"Bezzerwizzer","Große Spiele","Im Regal Erdgeschoss (Rechts)","B4","32441"
"Bezzerwizzer","Große Spiele","Im Regal Erdgeschoss (Rechts)","B5","32441"
"Bezzerwizzer","Große Spiele","Im Regal Erdgeschoss (Rechts)","B5","32441"
"Biberbande","Kleine Spiele","Im Regal Erdgeschoss (Links)","B8","3837"
"Biss 20","Kleine Spiele","Im Regal Erdgeschoss (Links)","B9","318195"
"Blitz-Dings","Kleine Spiele","Im Regal Erdgeschoss (Links)","B10","142271"
"Blood Bound","Kleine Spiele","Im Regal Erdgeschoss (Links)","B11","130877"
"Blood Rage","Große Spiele","Im Regal Erdgeschoss (Rechts)","B5.1","170216"
"Blueprints","Kleine Spiele","Im Regal Erdgeschoss (Links)","B12","140933"
"Boggle","Große Spiele","Im Regal Erdgeschoss (Rechts)","B7","1293"
"Bohnanza","Kleine Spiele","Im Regal Erdgeschoss (Links)","B13","11"
"Botanicus","Große Spiele","Im Regal Erdgeschoss (Rechts)","B8","413260"
"Brew","Große Spiele","Im Regal Erdgeschoss (Rechts)","B10","332386"
"Brick Party","Kleine Spiele","Im Regal Erdgeschoss (Links)","B14","181161"
"Bronze","Große Spiele","Im Regal Erdgeschoss (Rechts)","B11","230746"
"Burg Appenzell","Kinder- und Familienspiele","Obergeschoss Rechts","Kids 3","28089"
"Caesar & Cleopatra","Kleine Spiele","Im Regal Erdgeschoss (Links)","C4","132"
"Calico","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45662","283155"
"Can't Stop","Große Spiele","Im Regal Erdgeschoss (Rechts)","C2","41"
"Captain Sonar","Große Spiele","Im Regal Erdgeschoss (Rechts)","C3","171131"
"Cascadia","Große Spiele","Im Regal Erdgeschoss (Rechts)","C4","295947"
"Cat Lady","Kleine Spiele","Im Regal Erdgeschoss (Links)","C8","228504"
"Cat in the Box","Kleine Spiele","Im Regal Erdgeschoss (Links)","C7","345972"
"Catan Junior","Kinder- und Familienspiele","Obergeschoss Rechts","Kids 4","184842"
"Celestia","Kleine Spiele","Im Regal Erdgeschoss (Links)","C9","175117"
"Circles","Große Spiele","Im Regal Erdgeschoss (Rechts)","C10","353889"
"Circles","Kinder- und Familienspiele","Obergeschoss Rechts","Kids Top 7","353889"
"Citadels","Kleine Spiele","Im Regal Erdgeschoss (Links)","C11","205398"
"Clack!","Kinder- und Familienspiele","Obergeschoss Rechts","Kids 5","117555"
"Cluedo","Große Spiele","Im Regal Erdgeschoss (Rechts)","C12","130592"
"Cluedo","Große Spiele","Im Regal Erdgeschoss (Rechts)","C12","1294"
"Codenames","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45693","178900"
"Codex Naturalis","Kleine Spiele","Im Regal Erdgeschoss (Links)","C15","314503"
"Color Brain","Große Spiele","Im Regal Erdgeschoss (Rechts)","C13","223742"
"Color Code","Große Spiele","Im Regal Erdgeschoss (Rechts)","C14","342211"
"Coloretto","Kleine Spiele","Im Regal Erdgeschoss (Links)","C16","5782"
"Combo Fighter","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","6","236305"
"Concept","Große Spiele","Im Regal Erdgeschoss (Rechts)","C15","147151"
"Concordia","Große Spiele","Im Regal Erdgeschoss (Rechts)","C16","124361"
"Context","Große Spiele","Im Regal Erdgeschoss (Rechts)","C17","424435"
"Coral","Große Spiele","Im Regal Erdgeschoss (Rechts)","C19","343899"
"Coup","Kleine Spiele","Im Regal Erdgeschoss (Links)","C18","131357"
"Coyote","Kleine Spiele","Im Regal Erdgeschoss (Links)","C19","317981"
"Cranium","Große Spiele","Im Regal Erdgeschoss (Rechts)","C21","891"
"Cryptid","Große Spiele","Im Regal Erdgeschoss (Rechts)","C22","246784"
"Da ist der Wurm drin","Kinder- und Familienspiele","Obergeschoss Rechts","Kids 7","91671"
"Das Prestel Architekturspiel","Große Spiele","Im Regal Erdgeschoss (Rechts)","D3.1","4620"
"Das Prestel Nasenspiel","Große Spiele","Im Regal Erdgeschoss (Rechts)","D3.2","14142"
"Das perfekte Wort","Kleine Spiele","Im Regal Erdgeschoss (Links)","D1","326112"
"Decrypto","Kleine Spiele","Im Regal Erdgeschoss (Links)","D2","225694"
"Deep Blue","Große Spiele","Im Regal Erdgeschoss (Rechts)","D9","283649"
"Der Herr der Ringe","Große Spiele","Im Regal Erdgeschoss (Rechts)","D10","823"
"Der Pate","Große Spiele","Im Regal Erdgeschoss (Rechts)","D11","74102"
"Der Widerstand","Kleine Spiele","Im Regal Erdgeschoss (Links)","D8","41114"
"Der schwarze Pirat","Kinder- und Familienspiele","Obergeschoss Rechts","Kids Top 6","23890"
"Die Abenteuer des Robin Hood","Große Spiele","Im Regal Erdgeschoss (Rechts)","D13","326494"
"Die Baumeister von Arkadia","Große Spiele","Im Regal Erdgeschoss (Rechts)","D15","25643"
"Die Säulen der Erde","Große Spiele","Im Regal Erdgeschoss (Rechts)","D17","309109"
"Die ultimative Partyspielbox für Potter-Fans","Kleine Spiele","Im Regal Erdgeschoss (Links)","D14.1","408480"
"Dinosaur Island","Große Spiele","Im Regal Erdgeschoss (Rechts)","D21.1","221194"
"District Noir","Kleine Spiele","Im Regal Erdgeschoss (Links)","D15","216497"
"Dizzle","Kleine Spiele","Im Regal Erdgeschoss (Links)","D16","269199"
"Dog Lover","Kleine Spiele","Im Regal Erdgeschoss (Links)","D20","344839"
"Dog Park","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","8","331401"
"Draftosaurus","Kleine Spiele","Im Regal Erdgeschoss (Links)","D24","264055"
"Dream Dragon Dream","Kinder- und Familienspiele","Obergeschoss Rechts","Kids 11.1","379551"
"Druids","Kleine Spiele","Im Regal Erdgeschoss (Links)","D27","232417"
"Dumm gelaufen!","Kleine Spiele","Im Regal Erdgeschoss (Links)","D27.1","3294"
"Dungeon Petz","Große Spiele","Im Regal Erdgeschoss (Rechts)","D28","97207"
"Dungeons, Dice & Danger","Große Spiele","Im Regal Erdgeschoss (Rechts)","D29","349463"
"Ein wundervolles Königreich","Große Spiele","Im Regal Erdgeschoss (Rechts)","E2","327711"
"Elfer raus!","Kleine Spiele","Im Regal Erdgeschoss (Links)","E2","2086"
"Entdecker","Große Spiele","Im Regal Erdgeschoss (Rechts)","E3","200"
"Epic Spell Wars of the Battle Wizards","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","13","221366"
"Epic Spell Wars of the Battle Wizards","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","14","173200"
"Eselsbrücke","Große Spiele","Im Regal Erdgeschoss (Rechts)","E5","90009"
"Everdell","Große Spiele","Im Regal Erdgeschoss (Rechts)","E6","199792"
"Everdell","Große Spiele","Im Regal Erdgeschoss (Rechts)","E8","259996"
"Exploding Kittens","Kleine Spiele","Im Regal Erdgeschoss (Links)","E4","172225"
"Explorers","Kleine Spiele","Im Regal Erdgeschoss (Links)","E5","330174"
"Faraway","Kleine Spiele","Im Regal Erdgeschoss (Links)","F2.1","385761"
"Farben","Kleine Spiele","Im Regal Erdgeschoss (Links)","F3","259005"
"Fika","Kleine Spiele","Im Regal Erdgeschoss (Links)","F6","292914"
"First Rat","Große Spiele","Im Regal Erdgeschoss (Rechts)","F4","347703"
"Fits","Große Spiele","Im Regal Erdgeschoss (Rechts)","F5","10565"
"Five Tribes","Große Spiele","Im Regal Erdgeschoss (Rechts)","F6","157354"
"Flamecraft","Große Spiele","Im Regal Erdgeschoss (Rechts)","F7","336986"
"Flamme Rouge","Große Spiele","Im Regal Erdgeschoss (Rechts)","F8","199478"
"Flip 7","Kleine Spiele","Im Regal Erdgeschoss (Links)","F7","420087"
"Floral","Kleine Spiele","Im Regal Erdgeschoss (Links)","F7.1","422737"
"Flotti Karotti","Kinder- und Familienspiele","Obergeschoss Rechts","Kids 50","207888"
"Forum Trajanum","Große Spiele","Im Regal Erdgeschoss (Rechts)","F13","244049"
"Fugitive","Spiele für 6","Obergeschoss Links","F10","197443"
"Fun Facts","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45703","370164"
"Gardeners","Große Spiele","Im Regal Erdgeschoss (Rechts)","G1","361840"
"Ghooost!","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","17","132251"
"Ghosts","Kleine Spiele","Im Regal Erdgeschoss (Links)","G4","32751"
"Gierige Goblins","Große Spiele","Im Regal Erdgeschoss (Rechts)","G2","184919"
"Goblin Coaster","Große Spiele","Im Regal Erdgeschoss (Rechts)","G3.1","354323"
"Grand Austria Hotel","Große Spiele","Im Regal Erdgeschoss (Rechts)","G5","182874"
"Greed","Große Spiele","Im Regal Erdgeschoss (Rechts)","G8","151247"
"Halli Galli Junior","Kinder- und Familienspiele","Obergeschoss Rechts","Kids 18","20832"
"Halli Galli Twist","Kinder- und Familienspiele","Obergeschoss Rechts","Kids 19","375700"
"Halma","Große Spiele","Im Regal Erdgeschoss (Rechts)","H1.1","38950"
"Hansa Teutonica","Große Spiele","Im Regal Erdgeschoss (Rechts)","H1.2","286749"
"Harmonies","Große Spiele","Im Regal Erdgeschoss (Rechts)","H1","414317"
"Heblo","Große Spiele","Im Regal Erdgeschoss (Rechts)","H2","161544"
"Helsinki","Große Spiele","Im Regal Erdgeschoss (Rechts)","H3","363351"
"Hengist","Kleine Spiele","Im Regal Erdgeschoss (Links)","H5","182875"
"Hochspannung","Kleine Spiele","Im Regal Erdgeschoss (Links)","H11","241036"
"Hotel","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","21","1502"
"Hungry Monkey","Kleine Spiele","Im Regal Erdgeschoss (Links)","H13","355735"
"Il Vecchio","Große Spiele","Im Regal Erdgeschoss (Rechts)","I1.2","119391"
"Jaipur","Spiele für 9","Obergeschoss Links","J2","54043"
"Jenga","Kinder- und Familienspiele","Obergeschoss Rechts","Kids 22","2452"
"Jungle Speed","Kleine Spiele","Im Regal Erdgeschoss (Links)","J3","8098"
"K2","Große Spiele","Im Regal Erdgeschoss (Rechts)","K1","73761"
"Kahuna","Kleine Spiele","Im Regal Erdgeschoss (Links)","K0","394"
"Kakerlakenpoker","Kleine Spiele","Im Regal Erdgeschoss (Links)","K1","11971"
