"titel","untertitel","location","location2","sticker","id"
"Bohnanza","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B13","11"
"Caesar & Cleopatra","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C4","132"
"Tichu","","Kleine Spiele","Im Regal Erdgeschoss (Links)","T9","215"
"Kahuna","","Kleine Spiele","Im Regal Erdgeschoss (Links)","K0","394"
"Ligretto","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L6","943"
"Ligretto","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L6","943"
"Ligretto","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L7","943"
"Ligretto","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L7","943"
"Ligretto","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L8","943"
"Ligretto","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L8","943"
"Kuhhandel","","Kleine Spiele","Im Regal Erdgeschoss (Links)","K7","1117"
"Set!","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S13","1198"
"Phase 10","","Kleine Spiele","Im Regal Erdgeschoss (Links)","P3","1258"
"Wizard","","Kleine Spiele","Im Regal Erdgeschoss (Links)","W9","1465"
"Hotel","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","21","1502"
"Munchkin","","Kleine Spiele","Im Regal Erdgeschoss (Links)","M10","1927"
"Elfer raus!","","Kleine Spiele","Im Regal Erdgeschoss (Links)","E2","2086"
"Reversi","","Kleine Spiele","Im Regal Erdgeschoss (Links)","R7","2389"
"Dumm gelaufen!","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D27.1","3294"
"Biberbande","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B8","3837"
"Therapy","","Große Spiele","Im Regal Erdgeschoss (Links)","T11","4355"
"Coloretto","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C16","5782"
"Jungle Speed","","Kleine Spiele","Im Regal Erdgeschoss (Links)","J3","8098"
"Saboteur","","Kleine Spiele","Im Regal Erdgeschoss (Links)","S2","9220"
"Kakerlakenpoker","","Kleine Spiele","Im Regal Erdgeschoss (Links)","K1","11971"
"Bananagrams","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B0","27225"
"Nichtlustig","","Kleine Spiele","Im Regal Erdgeschoss (Links)","N2","27837"
"Ghosts","","Kleine Spiele","Im Regal Erdgeschoss (Links)","G4","32751"
"Apokalypse","","Kleine Spiele","Im Regal Erdgeschoss (Links)","A5","39202"
"Der Widerstand","","Kleine Spiele","Im Regal Erdgeschoss (Links)","D8","41114"
"Unter Spannung","","Kleine Spiele","Im Regal Erdgeschoss (Links)","U5","42206"
"Phase 10 Master","","Kleine Spiele","Im Regal Erdgeschoss (Links)","P3.1","61470"
"The Networks","","Große Spiele","Im Regal Erdgeschoss (Links)","T9","72321"
"Piraten Fluxx","","Kleine Spiele","Im Regal Erdgeschoss (Links)","P4","73538"
"Privacy","Scharf wie Chili","Kleine Spiele","Im Regal Erdgeschoss (Links)","P9.1","83492"
"Timeline","Inventions","Kleine Spiele","Im Regal Erdgeschoss (Links)","T12","85256"
"Summoner Wars","Master Set","Große Spiele","Im Regal Erdgeschoss (Links)","S31","93260"
"Sparta","","Große Spiele","Im Regal Erdgeschoss (Links)","S23","109105"
"Piraten Kapern","","Kleine Spiele","Im Regal Erdgeschoss (Links)","P5","117663"
"Targi","","Kleine Spiele","Im Regal Erdgeschoss (Links)","T2","118048"
"Ubongo Trigo","","Kleine Spiele","Im Regal Erdgeschoss (Links)","U1","118553"
"Terra Mystica","","Große Spiele","Im Regal Erdgeschoss (Links)","T6","120677"
"Pixel Tactics","","Kleine Spiele","Im Regal Erdgeschoss (Links)","P6","125548"
"Love Letter","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L13","129622"
"Blood Bound","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B11","130877"
"Coup","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C18","131357"
"Ghooost!","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","17","132251"
"Blueprints","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B12","140933"
"Arboretum","","Kleine Spiele","Im Regal Erdgeschoss (Links)","A6","140934"
"Blitz-Dings","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B10","142271"
"Splendor","","Große Spiele","Im Regal Erdgeschoss (Links)","S26","148228"
"Rock'n Rodeo","Der Festivalmanager","Kleine Spiele","Im Regal Erdgeschoss (Links)","R9","149618"
"Willkommen im Dungeon","","Kleine Spiele","Im Regal Erdgeschoss (Links)","W8","150312"
"Port Royal","","Kleine Spiele","Im Regal Erdgeschoss (Links)","P9","156009"
"Monikers","","Kleine Spiele","Im Regal Erdgeschoss (Links)","M7","156546"
"Spirit Island","","Große Spiele","Im Regal Erdgeschoss (Links)","S25.1","162886"
"Beasty Bar","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B6","165950"
"Spyfall","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","30","166384"
"Scythe","","Große Spiele","Im Regal Erdgeschoss (Links)","S18","169786"
"Exploding Kittens","","Kleine Spiele","Im Regal Erdgeschoss (Links)","E4","172225"
"Epic Spell Wars of the Battle Wizards","Rumble at Castle Tentakill","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","14","173200"
"Celestia","","Kleine Spiele","Im Regal Erdgeschoss (Links)","C9","175117"
"Codenames","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45693","178900"
"Brick Party","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B14","181161"
"Hengist","","Kleine Spiele","Im Regal Erdgeschoss (Links)","H5","182875"
"Bandido","","Kleine Spiele","Im Regal Erdgeschoss (Links)","B1","191925"
