"comment","id","location","location2","sticker","conditiontext","haspartslist","wantpartslist","collid","baverage","average","avgweight","rank","numowned","objecttype","originalname","minplayers","maxplayers","playingtime","maxplaytime","minplaytime","yearpublished","bggrecplayers","bggbestplayers","bggrecagerange","bgglanguagedependence","publisherid","imageid","year","language","other","itemtype","barcode","pricepaid","pp_currency","currvalue","cv_currency","acquisitiondate","acquiredfrom","quantity","privatecomment","invlocation","invdate","version_publishers","version_languages","version_yearpublished","version_nickname"
"14 Frantic Minutes","362865","Treppe hoch","Spiel des Jahres","SdJ2014","","","","110959123","0","709.259","1.5","0","104","thing","14 Frantic Minutes","1","4","14","14","14","2023","1,2","1","","","","","","","","standalone","","","","","","","","","","","","Crazy Like a Box","English","2023","English edition"
"3 Minute Crazy Café","394751","Reinkommen","Engels Spiel","Eng14","","","","110836326","551.331","600.309","1","18792","167","thing","3 Minute Crazy Café","2","6","9","9","9","2023","3,4,5,6","5,6","8+","","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2023","German edition"
"5 Towers","400205","Uberall","Deutsch Spiel","GER123","","","","112243074","603.212","689.755","12.143","2714","2761","thing","5 Towers","2","5","30","30","15","2023","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Deep Print Games  Pegasus Spiele","German","2023","German edition"
"5 Towers","400205","Reinkommen","Klein Spiel","SMA123","","","","112243415","603.212","689.755","12.143","2714","2761","thing","5 Towers","2","5","30","30","15","2023","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"5-Minute Dungeon","207830","Reinkommen","Normal Spiel","NOR123","","","","110489963","660.155","692.934","1.12","1026","19154","thing","5-Minute Dungeon","2","5","30","30","5","2017","2,3,4,5","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2017","German edition"
"6 nimmt!","432","Treppe hoch","Kennerspiel des Jahres","KdJ123","","","","110491254","684.135","696.896","11.924","648","42925","thing","Take 5","2","10","45","45","45","1994","3,4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","1994","AMIGO German edition 1994"
"7 Wonders","68448","Reinkommen","Krimmi","KRI","","","","110495762","757.393","768.325","23.167","91","142047","thing","7 Wonders","2","7","30","30","30","2017","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Repos Production","German","2017","Repos German 2017"
"7 Wonders Duel","173346","","Neues Categorie","Neu","","","","110493077","797.234","809.609","22.287","19","157038","thing","7 Wonders Duel","2","2","30","30","30","2022","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Repos Production","German","2022","German edition 2022"
"7 Wonders: Edifice","378839","Vraag ons personeel!","Volgt zsm!","","","","","110490788","572.509","761.556","2","0","1937","thing","7 Wonders: Edifice","3","7","30","30","30","2023","4,5,6,7","5","10+","","","","","","","expansion","","","","","","","","","","","","Repos Production","German","2023","German edition"
"A la carte","217","Vraag ons personeel!","Volgt zsm!","","","","","110664049","607.596","646.451","12.955","2527","4614","thing","A la carte","2","4","30","30","30","2019","2,3,2004","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HeidelBÄR Games","German","2019","German edition 2019"
"Die Abenteuer des Robin Hood","326494","Vraag ons personeel!","Volgt zsm!","","","","","110488967","675.991","749.125","18.456","754","10078","thing","The Adventures of Robin Hood","2","4","60","60","60","2021","1,2,3,4","2","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2021","German edition"
"Abrakadabrien: Das magische Kartenspiel","362600","Vraag ons personeel!","Volgt zsm!","","","","","110495656","558.929","66.791","13.333","8957","413","thing","Abrakadabrien: Das magische Kartenspiel","2","6","30","30","30","2022","2,3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2022","German edition"
"Activity","8790","Vraag ons personeel!","Volgt zsm!","","","","","112219806","559.514","586.195","11.176","8653","2152","thing","Activity","3","16","45","45","45","1990","4,6,8,9,10,11,12","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Adventure Games: Das Verlies","267813","Vraag ons personeel!","Volgt zsm!","","","","","111375589","628.244","694.261","16.866","1742","5763","thing","Adventure Games: The Dungeon","1","4","90","90","90","2019","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2019","German edition"
"Adventure Games: Die Monochrome AG","267814","Vraag ons personeel!","Volgt zsm!","","","","","110488231","597.704","657.298","19.231","3015","4711","thing","Adventure Games: Monochrome Inc.","1","4","75","75","75","2019","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2019","German edition"
"Agricola","31260","Uberall","Deutsch Spiel","German / Deutsch 2022","","","","113074229","774.871","787.566","36.366","53","85545","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
